Tail Number,task_code,Started_Date_x,Completed_Date_x,oamt_barcode
123456,12-30-40,2019-06-01 19:09:00,2019-06-01 20:58:51,CKQ7
123456,12-30-40,2019-06-01 20:29:12,2019-06-01 20:34:00,CKQ7
123456,12-30-40,2019-06-01 20:41:48,2019-06-01 20:58:51,CKQ7
123456,12-30-40,2019-06-01 20:58:51,2019-06-01 21:07:00,CKQ7
123456,12-30-40,2019-06-01 20:58:51,2019-06-01 21:09:00,CKQ7
123456,12-30-40,2019-06-05 19:09:00,2019-06-05 20:09:00,CLSC
123456,12-30-40,2019-06-05 19:19:12,2019-06-05 19:24:00,CLSC
123456,12-30-40,2019-06-05 19:35:00,2019-06-05 20:35:00,CLSC
123456,12-30-40,2019-06-05 19:36:00,2019-06-05 20:06:00,CLSC
123456,12-30-40,2019-06-05 19:46:00,2019-06-05 20:16:00,CLSC
123456,12-30-40,2019-06-05 20:20:00,2019-06-05 20:50:00,CLSC
123456,12-30-40,2019-06-07 20:43:12,2019-06-07 21:03:00,CMNQ
123456,12-30-40,2019-06-07 20:47:00,2019-06-07 21:17:00,CMNQ
123456,12-30-40,2019-06-07 20:49:00,2019-06-07 21:19:00,CMNQ
123456,12-30-40,2019-06-07 20:51:12,2019-06-07 21:11:00,CMNQ
123456,12-30-40,2019-06-07 20:55:12,2019-06-07 21:15:00,CMNQ
123456,12-30-40,2019-06-07 21:08:12,2019-06-07 21:13:00,CMNQ
123456,12-30-40,2019-06-07 21:13:48,2019-06-07 21:24:00,CMNQ
123456,12-30-40,2019-06-08 17:17:00,2019-06-08 18:02:00,CNUA
123456,12-30-40,2019-06-08 17:24:12,2019-06-08 18:14:00,CNUA
123456,12-30-40,2019-06-08 18:09:48,2019-06-08 18:26:00,CNUA
123456,12-30-40,2019-06-08 18:22:00,2019-06-08 18:34:00,CNUA
123456,12-30-40,2019-06-09 16:21:12,2019-06-09 17:11:00,CP05
123456,12-30-40,2019-06-09 16:54:00,2019-06-09 17:24:00,CP05
123456,12-30-40,2019-06-09 17:00:00,2019-06-09 17:15:00,CP05
123456,12-30-40,2019-06-09 17:23:00,2019-06-09 17:41:00,CP05
123456,12-30-40,2019-06-10 16:16:48,2019-06-10 16:57:00,CP37
123456,12-30-40,2019-06-10 16:26:00,2019-06-10 17:26:00,CP37
123456,12-30-40,2019-06-10 16:32:00,2019-06-10 16:35:00,CP37
123456,12-30-40,2019-06-10 16:33:00,2019-06-10 17:33:00,CP37
123456,12-30-40,2019-06-10 16:36:00,2019-06-10 17:06:00,CP37
123456,12-30-40,2019-06-10 17:12:00,2019-06-10 17:42:00,CP37
123456,12-30-40,2019-06-11 18:07:12,2019-06-11 18:18:00,CPFV
123456,12-30-40,2019-06-11 18:45:48,2019-06-11 19:26:00,CPFV
123456,12-30-40,2019-06-11 18:56:00,2019-06-11 19:38:00,CPFV
123456,12-30-40,2019-06-11 18:59:00,2019-06-11 19:29:00,CPFV
123456,12-30-40,2019-06-11 19:13:00,2019-06-11 20:13:00,CPFV
123456,12-30-40,2019-06-11 19:46:00,2019-06-11 19:58:00,CPFV
123456,12-30-40,2019-06-12 18:43:48,2019-06-12 18:54:00,CQBU
123456,12-30-40,2019-06-12 19:06:00,2019-06-12 19:54:00,CQBU
123456,12-30-40,2019-06-12 19:29:00,2019-06-12 19:59:00,CQBU
123456,12-30-40,2019-06-12 19:34:00,2019-06-12 20:04:00,CQBU
123456,12-30-40,2019-06-12 19:41:00,2019-06-12 20:11:00,CQBU
123456,12-30-40,2019-06-12 19:45:00,2019-06-12 20:00:00,CQBU
123456,12-30-40,2019-06-13 19:24:00,2019-06-13 19:54:00,CQTN
123456,12-30-40,2019-06-13 19:25:48,2019-06-13 20:06:00,CQTN
123456,12-30-40,2019-06-13 19:57:00,2019-06-13 20:27:00,CQTN
123456,12-30-40,2019-06-13 20:05:12,2019-06-13 20:13:00,CQTN
123456,12-30-40,2019-06-13 20:13:12,2019-06-13 20:24:00,CQTN
123456,12-30-40,2019-06-13 20:41:00,2019-06-13 21:11:00,CQTN
123456,12-30-40,2019-06-18 19:42:12,2019-06-18 19:53:00,CTLM
123456,12-30-40,2019-06-18 19:42:48,2019-06-18 20:23:00,CTLM
123456,12-30-40,2019-06-18 19:55:00,2019-06-18 20:40:00,CTLM
123456,12-30-40,2019-06-18 19:56:00,2019-06-18 20:41:00,CTLM
123456,12-30-40,2019-06-18 20:05:12,2019-06-18 20:25:00,CTLM
123456,12-30-40,2019-06-18 20:05:12,2019-06-18 20:25:00,CTLM
123456,12-30-40,2019-06-18 20:11:00,2019-06-18 20:41:00,CTLM
123456,12-30-40,2019-06-18 21:14:00,2019-06-18 21:20:00,CTLM
123456,12-30-40,2019-06-19 17:28:00,2019-06-19 17:58:00,CU20
123456,12-30-40,2019-06-19 17:49:12,2019-06-19 18:39:00,CU20
123456,12-30-40,2019-06-19 18:14:00,2019-06-19 18:44:00,CU20
123456,12-30-40,2019-06-19 18:23:00,2019-06-19 19:08:00,CU20
123456,12-30-40,2019-06-19 18:36:00,2019-06-19 19:17:51,CU20
123456,12-30-40,2019-06-19 19:17:51,2019-06-19 19:21:00,CU20
123456,12-30-40,2019-06-19 19:35:12,2019-06-19 19:40:00,CU20
123456,12-30-40,2019-06-04 23:24:12,2019-06-05 0:44:00,CLS7
123456,12-30-40,2019-06-04 23:56:00,2019-06-05 0:41:00,CLS7
123456,12-30-40,2019-06-04 23:58:12,2019-06-05 0:47:50,CLS7
123456,12-30-40,2019-06-05 0:04:00,2019-06-05 0:34:00,CLS7
123456,12-30-40,2019-06-05 0:36:12,2019-06-05 0:47:50,CLS7
123456,12-30-40,2019-06-05 0:47:50,2019-06-05 0:48:00,CLS7
123456,12-30-40,2019-06-05 0:47:50,2019-06-05 0:56:00,CLS7
123456,12-30-40,2019-06-06 15:02:00,2019-06-06 15:32:00,CMNN
123456,12-30-40,2019-06-06 15:06:00,2019-06-06 16:06:00,CMNN
123456,12-30-40,2019-06-06 15:41:12,2019-06-06 16:01:00,CMNN
123456,12-30-40,2019-06-06 15:52:12,2019-06-06 16:12:00,CMNN
123456,12-30-40,2019-06-06 16:26:12,2019-06-06 16:34:00,CMNN
123456,12-30-40,2019-06-06 18:20:00,2019-06-06 19:20:00,CMZQ
123456,12-30-40,2019-06-06 18:21:00,2019-06-06 19:06:00,CMZQ
123456,12-30-40,2019-06-06 18:28:00,2019-06-06 19:28:00,CMZQ
123456,12-30-40,2019-06-06 18:37:00,2019-06-06 19:07:00,CMZQ
123456,12-30-40,2019-06-06 19:40:12,2019-06-06 19:45:00,CMZQ
123456,12-30-40,2019-06-07 20:41:00,2019-06-07 21:41:00,CNU9
123456,12-30-40,2019-06-07 21:03:48,2019-06-07 21:44:00,CNU9
123456,12-30-40,2019-06-07 21:17:00,2019-06-07 21:47:00,CNU9
123456,12-30-40,2019-06-07 21:26:12,2019-06-07 21:46:00,CNU9
123456,12-30-40,2019-06-07 21:50:12,2019-06-07 21:52:00,CNU9
123456,12-30-40,2019-06-07 22:57:12,2019-06-07 23:02:00,CNU9
123456,12-30-40,2019-06-09 12:45:12,2019-06-09 13:35:00,CP04
123456,12-30-40,2019-06-09 12:48:48,2019-06-09 13:44:00,CP04
123456,12-30-40,2019-06-09 13:30:00,2019-06-09 13:54:00,CP04
123456,12-30-40,2019-06-09 13:40:00,2019-06-09 13:58:00,CP04
123456,12-30-40,2019-06-10 10:17:00,2019-06-10 11:02:00,CP36
123456,12-30-40,2019-06-10 10:25:00,2019-06-10 10:55:00,CP36
123456,12-30-40,2019-06-10 10:35:12,2019-06-10 10:55:00,CP36
123456,12-30-40,2019-06-10 10:36:00,2019-06-10 11:06:00,CP36
123456,12-30-40,2019-06-10 10:38:00,2019-06-10 11:38:00,CP36
123456,12-30-40,2019-06-10 10:47:00,2019-06-10 11:40:38,CP36
123456,12-30-40,2019-06-10 10:58:00,2019-06-10 11:13:00,CP36
123456,12-30-40,2019-06-10 11:40:38,2019-06-10 11:47:00,CP36
123456,12-30-40,2019-06-10 12:10:00,2019-06-10 12:11:00,CP36
123456,12-30-40,2019-06-10 19:22:00,2019-06-10 20:22:00,CPFU
123456,12-30-40,2019-06-10 19:47:00,2019-06-10 20:17:00,CPFU
123456,12-30-40,2019-06-10 20:01:00,2019-06-10 20:31:00,CPFU
123456,12-30-40,2019-06-10 20:15:00,2019-06-10 20:45:00,CPFU
123456,12-30-40,2019-06-10 20:16:12,2019-06-10 20:36:00,CPFU
123456,12-30-40,2019-06-10 21:07:12,2019-06-10 21:07:50,CPFU
123456,12-30-40,2019-06-10 21:07:50,2019-06-10 21:12:00,CPFU
123456,12-30-40,2019-06-11 22:53:00,2019-06-11 23:53:00,CQBT
123456,12-30-40,2019-06-11 23:10:12,2019-06-11 23:45:00,CQBT
123456,12-30-40,2019-06-11 23:29:00,2019-06-11 23:59:00,CQBT
123456,12-30-40,2019-06-12 0:19:12,2019-06-12 0:36:50,CQBT
123456,12-30-40,2019-06-12 0:28:00,2019-06-12 0:36:50,CQBT
123456,12-30-40,2019-06-12 0:36:50,2019-06-12 0:39:00,CQBT
123456,12-30-40,2019-06-12 0:36:50,2019-06-12 0:58:00,CQBT
123456,12-30-40,2019-06-12 22:29:12,2019-06-12 23:16:00,CQTM
123456,12-30-40,2019-06-12 22:51:00,2019-06-12 23:21:00,CQTM
123456,12-30-40,2019-06-12 22:56:00,2019-06-12 23:26:00,CQTM
123456,12-30-40,2019-06-12 23:27:00,2019-06-12 23:53:50,CQTM
123456,12-30-40,2019-06-12 23:48:00,2019-06-12 23:53:50,CQTM
123456,12-30-40,2019-06-12 23:53:50,2019-06-12 23:57:00,CQTM
123456,12-30-40,2019-06-12 23:53:50,2019-06-13 0:18:00,CQTM
123456,12-30-40,2019-06-13 23:03:00,2019-06-13 23:33:00,CRHM
123456,12-30-40,2019-06-13 23:13:00,2019-06-13 23:43:00,CRHM
123456,12-30-40,2019-06-13 23:17:00,2019-06-13 23:47:00,CRHM
123456,12-30-40,2019-06-13 23:17:12,2019-06-13 23:37:00,CRHM
123456,12-30-40,2019-06-13 23:29:48,2019-06-13 23:40:00,CRHM
123456,12-30-40,2019-06-14 0:09:00,2019-06-14 0:39:00,CRHM
123456,12-30-40,2019-06-17 23:43:00,2019-06-18 0:43:00,CTLL
123456,12-30-40,2019-06-18 0:07:00,2019-06-18 0:37:00,CTLL
123456,12-30-40,2019-06-18 0:17:00,2019-06-18 0:47:00,CTLL
123456,12-30-40,2019-06-18 0:27:00,2019-06-18 0:57:00,CTLL
123456,12-30-40,2019-06-18 0:28:00,2019-06-18 0:55:00,CTLL
123456,12-30-40,2019-06-18 1:31:00,2019-06-18 1:40:38,CTLL
123456,12-30-40,2019-06-18 1:40:38,2019-06-18 1:43:00,CTLL
123456,12-30-40,2019-06-18 22:39:00,2019-06-18 23:09:00,CU1Z
123456,12-30-40,2019-06-18 22:58:00,2019-06-18 23:28:00,CU1Z
123456,12-30-40,2019-06-18 23:14:12,2019-06-18 23:34:00,CU1Z
123456,12-30-40,2019-06-18 23:19:48,2019-06-18 23:45:00,CU1Z
123456,12-30-40,2019-06-18 23:34:48,2019-06-19 0:00:00,CU1Z
123456,12-30-40,2019-06-19 0:03:00,2019-06-19 0:05:38,CU1Z
123456,12-30-40,2019-06-19 0:05:38,2019-06-19 0:09:00,CU1Z
123456,148-DRED,2019-06-24 13:31:00,2019-06-24 14:01:00,CX87
123456,148-MDEV,2019-06-01 20:27:00,2019-06-01 20:42:00,CKQ1
123456,148-MDEV,2019-06-01 20:38:00,2019-06-01 20:50:00,CKQ4
123456,18-11-00,2019-06-07 18:40:00,2019-06-07 18:59:45,CML2
123456,18-11-00,2019-06-07 18:59:45,2019-06-07 19:25:00,CML2
123456,18-11-00,2019-06-07 20:48:00,2019-06-07 20:49:00,CML2
123456,18-11-00,2019-06-07 20:02:00,2019-06-07 20:17:00,CNHZ
